Time,CPU,Total_Memory,Free_Memory,Used_Memory,Percentage_Utilization,Bytes_Sent,Bytes_Receive
5,0.0,2097139712,1126600704,129765376,15.4,50091229,78319840
6,2.9,2097139712,1126285312,130080768,15.5,50096465,78322902
7,1.0,2097139712,1126121472,130244608,15.5,50101987,78326434
8,2.0,2097139712,1126219776,130146304,15.5,50107178,78329632
9,2.9,2097139712,1126088704,130277376,15.5,50112298,78332760
10,1.0,2097139712,1126154240,130211840,15.5,50117608,78336024
11,1.0,2097139712,1126219776,130142208,15.5,50123031,78339226
12,0.0,2097139712,1126088704,130273280,15.5,50128056,78342222
13,0.0,2097139712,1126187008,130174976,15.5,50133559,78345622
14,2.0,2097139712,1126252544,130109440,15.5,50138822,78348816
15,1.0,2097139712,1126121472,130240512,15.5,50144296,78352146
16,0.0,2097139712,1126219776,130142208,15.5,50149608,78355476
17,2.0,2097139712,1126088704,130273280,15.5,50154928,78358938
18,0.0,2097139712,1126154240,130207744,15.5,50160064,78362070
19,2.0,2097139712,1126252544,130109440,15.5,50165108,78365334
20,1.0,2097139712,1126121472,130240512,15.5,50170619,78368866
21,0.0,2097139712,1126187008,130174976,15.5,50176059,78371932
22,1.0,2097139712,1126252544,130109440,15.5,50181368,78375192
23,0.0,2097139712,1126154240,130207744,15.5,50186712,78378324
24,1.0,2097139712,1126219776,130142208,15.5,50192120,78381720
25,2.0,2097139712,1126088704,130273280,15.5,50197332,78385050
26,1.0,2097139712,1126154240,130207744,15.5,50202588,78388116
27,1.0,2097139712,1126219776,130142208,15.5,50207812,78391380
28,2.0,2097139712,1126088704,130273280,15.5,50213443,78395044
29,1.0,2097139712,1126187008,130174976,15.5,50218512,78398106
30,1.0,2097139712,1126252544,130109440,15.5,50223935,78401308
31,0.0,2097139712,1126121472,130240512,15.5,50229321,78404284
32,1.0,2097139712,1126187008,130174976,15.5,50234280,78407280
33,2.0,2097139712,1126252544,130109440,15.5,50239394,78410478
34,1.0,2097139712,1126154240,130207744,15.5,50244540,78413808
35,0.0,2097139712,1126219776,130142208,15.5,50249963,78417010
36,1.0,2097139712,1126088704,130269184,15.5,50255285,78420010
37,2.0,2097139712,1126154240,130203648,15.5,50260486,78422808
38,0.0,2097139712,1126215680,130142208,15.5,50265960,78426336
39,2.0,2097139712,1126113280,130244608,15.5,50271407,78429340
40,1.0,2097139712,1126178816,130179072,15.5,50276675,78432340
41,1.0,2097139712,1126244352,130113536,15.5,50282161,78435472
42,1.9,2097139712,1126113280,130244608,15.5,50287529,78438604
43,1.0,2097139712,1126211584,130146304,15.5,50292890,78441732
44,1.0,2097139712,1126244352,130113536,15.5,50298026,78444798
45,0.0,2097139712,1126113280,130244608,15.5,50303319,78448198
46,2.0,2097139712,1126178816,130179072,15.5,50308672,78451260
47,1.0,2097139712,1126244352,130113536,15.5,50314063,78454792
48,2.0,2097139712,1126113280,130244608,15.5,50319633,78458320
49,1.0,2097139712,1126211584,130146304,15.5,50324920,78461382
50,1.0,2097139712,1126080512,130277376,15.5,50330495,78464716
51,0.0,2097139712,1126146048,130211840,15.5,50335653,78467514
52,1.9,2097139712,1126211584,130146304,15.5,50341060,78470910
53,1.0,2097139712,1126113280,130244608,15.5,50346468,78474306
54,1.0,2097139712,1126178816,130179072,15.5,50352043,78477640
55,2.0,2097139712,1126244352,130113536,15.5,50357335,78480772
56,1.0,2097139712,1126146048,130211840,15.5,50362667,78483706
57,0.0,2097139712,1126211584,130146304,15.5,50367856,78486702
58,2.0,2097139712,1126080512,130277376,15.5,50367856,78490168
